Destination,State,Category,Best_Season,Average_Budget,Recommended_Trip_Duration,Nearest_Airport,Popularity,Family_Friendly,Adventure_Score,Season_Mar-Jun,Season_Nov-Feb,Season_Oct-Mar,Category_Adventure,Category_Backwaters,Category_Beach,Category_Bird Sanctuary,Category_Coastal,Category_Cultural,Category_Desert,Category_Heritage,Category_Hill Station,Category_Island,Category_Lake,Category_Mountain,Category_Nature,Category_Rainforest,Category_Rural,Category_Snow,Category_Spiritual,Category_Valley,Category_Waterfall,Category_Wildlife,Hotel_City,Airport_City,Flight_Available,Average_Hotel_Rating,Average_Hotel_Price,Minimum_Hotel_Price,Maximum_Hotel_Price,Number_of_Hotels,Average_Flight_Cost,Minimum_Flight_Cost,Maximum_Flight_Cost,Number_of_Routes,Hotel_Data_Available,Supporting_Data_Available
Ooty,Tamil Nadu,Hill Station,Mar-Jun,35000,5,Ooty Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Ooty,0,,,,,,,,,,0,0
Munnar,Kerala,Hill Station,Mar-Jun,35000,5,Munnar Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Munnar,0,,,,,,,,,,0,0
Kanyakumari,Tamil Nadu,Coastal,Nov-Feb,30000,4,Kanyakumari Airport,High,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kanyakumari,Kanyakumari,0,4.1000000000000005,2043.7727272727273,743.0,4845.0,22.0,,,,,1,1
Rann Of Kutch,Gujarat,Desert,Oct-Mar,25000,3,Rann of Kutch Airport,High,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Rann of Kutch,0,,,,,,,,,,0,0
Dhanushkodi,Tamil Nadu,Coastal,Nov-Feb,30000,4,Dhanushkodi Airport,High,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Dhanushkodi,0,,,,,,,,,,0,0
Chitrakote Falls,Chhattisgarh,Waterfall,Oct-Mar,25000,3,Chitrakote Falls Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Chitrakote Falls,0,,,,,,,,,,0,0
Gokarna,Karnataka,Beach,Nov-Feb,30000,4,Gokarna Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Gokarna,0,,,,,,,,,,0,0
Pondicherry,Puducherry,Coastal,Nov-Feb,30000,4,Pondicherry Airport,High,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pondicherry,Pondicherry,1,4.0636363636363635,3034.6363636363635,904.0,9698.0,22.0,3550.0,3400.0,3700.0,2.0,1,1
Hampi,Karnataka,Heritage,Oct-Mar,22000,3,Hampi Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Hampi,0,,,,,,,,,,0,0
Majuli Island,Assam,Island,Nov-Feb,30000,4,Majuli Island Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Majuli Island,0,,,,,,,,,,0,0
Araku Valley,Andhra Pradesh,Valley,Mar-Jun,35000,5,Araku Valley Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Araku Valley,0,,,,,,,,,,0,0
Varkala,Kerala,Beach,Nov-Feb,30000,4,Varkala Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varkala,Varkala,0,4.309523809523809,2967.904761904762,1043.0,8048.0,21.0,,,,,1,1
Havelock Island,Andaman & Nicobar,Island,Nov-Feb,30000,4,Havelock Island Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Havelock Island,0,,,,,,,,,,0,0
Neil Island,Andaman & Nicobar,Island,Nov-Feb,30000,4,Neil Island Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Neil Island,0,,,,,,,,,,0,0
Shillong,Meghalaya,Hill Station,Mar-Jun,35000,5,Shillong Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Shillong,1,,,,,,3472.7272727272725,2200.0,6900.0,11.0,0,1
Cherrapunji,Meghalaya,Nature,Oct-Mar,25000,3,Cherrapunji Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Cherrapunji,0,,,,,,,,,,0,0
Dawki,Meghalaya,Nature,Oct-Mar,25000,3,Dawki Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Dawki,0,,,,,,,,,,0,0
Krang Suri Falls,Meghalaya,Waterfall,Oct-Mar,25000,3,Krang Suri Falls Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Krang Suri Falls,0,,,,,,,,,,0,0
Rishikesh,Uttarakhand,Adventure,Mar-Jun,35000,5,Rishikesh Airport,High,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Rishikesh,0,,,,,,,,,,0,0
Haridwar,Uttarakhand,Spiritual,Oct-Mar,18000,2,Haridwar Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Haridwar,0,,,,,,,,,,0,0
Amritsar,Punjab,Spiritual,Oct-Mar,18000,2,Amritsar Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Amritsar,Amritsar,1,4.308333333333334,4087.8333333333335,732.0,11800.0,24.0,3536.842105263158,2100.0,5900.0,19.0,1,1
Kanatal,Uttarakhand,Hill Station,Mar-Jun,35000,5,Kanatal Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Kanatal,0,,,,,,,,,,0,0
Binsar,Uttarakhand,Wildlife,Oct-Mar,25000,3,Binsar Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Binsar,0,,,,,,,,,,0,0
Munsiyari,Uttarakhand,Mountain,Mar-Jun,35000,5,Munsiyari Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Munsiyari,0,,,,,,,,,,0,0
Chakrata,Uttarakhand,Hill Station,Mar-Jun,35000,5,Chakrata Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Chakrata,0,,,,,,,,,,0,0
Kanha National Park,Madhya Pradesh,Wildlife,Oct-Mar,25000,3,Kanha National Park Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Kanha National Park,0,,,,,,,,,,0,0
Ranthambore National Park,Rajasthan,Wildlife,Oct-Mar,25000,3,Ranthambore National Park Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Ranthambore National Park,0,,,,,,,,,,0,0
Bandhavgarh National Park,Madhya Pradesh,Wildlife,Oct-Mar,25000,3,Bandhavgarh National Park Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Bandhavgarh National Park,0,,,,,,,,,,0,0
Tadoba Andhari Tiger Reserve,Maharashtra,Wildlife,Oct-Mar,25000,3,Tadoba Andhari Tiger Reserve Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Tadoba Andhari Tiger Reserve,0,,,,,,,,,,0,0
Lakshadweep Circuit,Lakshadweep,Island,Nov-Feb,30000,4,Lakshadweep Circuit Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Lakshadweep Circuit,0,,,,,,,,,,0,0
Kalpeni Island,Lakshadweep,Island,Nov-Feb,30000,4,Kalpeni Island Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Kalpeni Island,0,,,,,,,,,,0,0
Jaisalmer,Rajasthan,Desert,Oct-Mar,25000,3,Jaisalmer Airport,High,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jaisalmer,1,,,,,,2700.0,2000.0,3800.0,8.0,0,1
Kutch Interior Circuit,Gujarat,Cultural,Oct-Mar,22000,3,Kutch Interior Circuit Airport,High,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kutch Interior Circuit,0,,,,,,,,,,0,0
Wayanad,Kerala,Hill Station,Mar-Jun,35000,5,Wayanad Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Wayanad,0,,,,,,,,,,0,0
Tamhini Ghat & Mulshi,Maharashtra,Nature,Oct-Mar,25000,3,Tamhini Ghat & Mulshi Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Tamhini Ghat & Mulshi,0,,,,,,,,,,0,0
Mahabaleshwar & Panchgani,Maharashtra,Hill Station,Mar-Jun,35000,5,Mahabaleshwar & Panchgani Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Mahabaleshwar & Panchgani,0,,,,,,,,,,0,0
Chikmagalur,Karnataka,Hill Station,Mar-Jun,35000,5,Chikmagalur Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Chikmagalur,0,,,,,,,,,,0,0
Amboli Ghat,Maharashtra,Nature,Oct-Mar,25000,3,Amboli Ghat Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Amboli Ghat,0,,,,,,,,,,0,0
Agumbe,Karnataka,Rainforest,Oct-Mar,25000,3,Agumbe Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Agumbe,0,,,,,,,,,,0,0
Kudremukh,Karnataka,Mountain,Mar-Jun,35000,5,Kudremukh Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Kudremukh,0,,,,,,,,,,0,0
Port Blair,Andaman & Nicobar,Island,Nov-Feb,30000,4,Port Blair Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Port Blair,1,,,,,,6628.571428571428,6000.0,7600.0,7.0,0,1
Darjeeling,West Bengal,Hill Station,Mar-Jun,35000,5,Darjeeling Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Darjeeling,0,,,,,,,,,,0,0
Gangtok,Sikkim,Hill Station,Mar-Jun,35000,5,Gangtok Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Gangtok,0,,,,,,,,,,0,0
North Sikkim,Sikkim,Adventure,Mar-Jun,35000,5,North Sikkim Airport,High,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,North Sikkim,0,,,,,,,,,,0,0
Meghalaya Circuit,Meghalaya,Nature,Oct-Mar,25000,3,Meghalaya Circuit Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Meghalaya Circuit,0,,,,,,,,,,0,0
Kaziranga,Assam,Wildlife,Oct-Mar,25000,3,Kaziranga Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Kaziranga,0,,,,,,,,,,0,0
Khajuraho & Panna,Madhya Pradesh,Heritage,Oct-Mar,22000,3,Khajuraho & Panna Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Khajuraho & Panna,0,,,,,,,,,,0,0
Orchha,Madhya Pradesh,Heritage,Oct-Mar,22000,3,Orchha Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Orchha,0,,,,,,,,,,0,0
Almora & Kasar Devi,Uttarakhand,Hill Station,Mar-Jun,35000,5,Almora & Kasar Devi Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Almora & Kasar Devi,0,,,,,,,,,,0,0
Jibhi & Tirthan,Himachal Pradesh,Nature,Oct-Mar,25000,3,Jibhi & Tirthan Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Jibhi & Tirthan,0,,,,,,,,,,0,0
Chitkul & Baspa,Himachal Pradesh,Mountain,Mar-Jun,35000,5,Chitkul & Baspa Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Chitkul & Baspa,0,,,,,,,,,,0,0
Miyar Valley,Himachal Pradesh,Adventure,Mar-Jun,35000,5,Miyar Valley Airport,High,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Miyar Valley,0,,,,,,,,,,0,0
Keoladeo National Park,Rajasthan,Bird Sanctuary,Oct-Mar,25000,3,Keoladeo National Park Airport,High,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Keoladeo National Park,0,,,,,,,,,,0,0
Ranganathittu Bird Sanctuary,Karnataka,Bird Sanctuary,Oct-Mar,25000,3,Ranganathittu Bird Sanctuary Airport,High,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Ranganathittu Bird Sanctuary,0,,,,,,,,,,0,0
Nal Sarovar,Gujarat,Bird Sanctuary,Oct-Mar,25000,3,Nal Sarovar Airport,High,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Nal Sarovar,0,,,,,,,,,,0,0
Great Rann Of Kutch,Gujarat,Desert,Oct-Mar,25000,3,Great Rann of Kutch Airport,High,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Great Rann of Kutch,0,,,,,,,,,,0,0
Maravanthe,Karnataka,Beach,Nov-Feb,30000,4,Maravanthe Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Maravanthe,0,,,,,,,,,,0,0
Astaranga & Ramachandi,Odisha,Beach,Nov-Feb,30000,4,Astaranga & Ramachandi Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Astaranga & Ramachandi,0,,,,,,,,,,0,0
Unakoti,Tripura,Heritage,Oct-Mar,22000,3,Unakoti Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Unakoti,0,,,,,,,,,,0,0
Mamallapuram,Tamil Nadu,Heritage,Oct-Mar,22000,3,Mamallapuram Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Mamallapuram,0,,,,,,,,,,0,0
Hidden Goa Coves,Goa,Beach,Nov-Feb,30000,4,Hidden Goa Coves Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Hidden Goa Coves,0,,,,,,,,,,0,0
Bangaram & Kadmat,Lakshadweep,Island,Nov-Feb,30000,4,Bangaram & Kadmat Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Bangaram & Kadmat,0,,,,,,,,,,0,0
Malanad–Malabar Belt,Kerala,Rural,Oct-Mar,25000,3,Malanad–Malabar Belt Airport,High,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Malanad–Malabar Belt,0,,,,,,,,,,0,0
Krishna Heritage Circuit,Uttar Pradesh/Gujarat,Spiritual,Oct-Mar,18000,2,Krishna Heritage Circuit Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Krishna Heritage Circuit,0,,,,,,,,,,0,0
Rishikesh & Haridwar Route,Uttarakhand,Spiritual,Oct-Mar,18000,2,Rishikesh & Haridwar Route Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Rishikesh & Haridwar Route,0,,,,,,,,,,0,0
Varanasi Ganga Ghats,Uttar Pradesh,Spiritual,Oct-Mar,18000,2,Varanasi Ganga Ghats Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Varanasi,Varanasi Ganga Ghats,0,4.086956521739131,3137.782608695652,725.0,7824.0,23.0,,,,,1,1
Bodh Gaya,Bihar,Spiritual,Oct-Mar,18000,2,Bodh Gaya Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Bodh Gaya,0,,,,,,,,,,0,0
Rameswaram,Tamil Nadu,Spiritual,Oct-Mar,18000,2,Rameswaram Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Rameswaram,0,,,,,,,,,,0,0
Hampi & Pattadakal,Karnataka,Heritage,Oct-Mar,22000,3,Hampi & Pattadakal Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Hampi & Pattadakal,0,,,,,,,,,,0,0
Gulmarg,Jammu & Kashmir,Snow,Mar-Jun,35000,5,Gulmarg Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Gulmarg,0,,,,,,,,,,0,0
Auli,Uttarakhand,Snow,Mar-Jun,35000,5,Auli Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Auli,0,,,,,,,,,,0,0
Tiruvannamalai,Tamil Nadu,Spiritual,Oct-Mar,18000,2,Tiruvannamalai Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Tiruvannamalai,0,,,,,,,,,,0,0
Amarkantak,Madhya Pradesh,Nature,Oct-Mar,25000,3,Amarkantak Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Amarkantak,0,,,,,,,,,,0,0
Haridwar–Char Dham Trail,Uttarakhand,Spiritual,Oct-Mar,18000,2,Haridwar–Char Dham Trail Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Haridwar–Char Dham Trail,0,,,,,,,,,,0,0
