Destination,State,Category,Best_Season,Average_Budget,Recommended_Trip_Duration,Nearest_Airport,Popularity,Family_Friendly,Adventure_Score,Season_Mar-Jun,Season_Nov-Feb,Season_Oct-Mar,Category_Adventure,Category_Backwaters,Category_Beach,Category_Bird Sanctuary,Category_Coastal,Category_Cultural,Category_Desert,Category_Heritage,Category_Hill Station,Category_Island,Category_Lake,Category_Mountain,Category_Nature,Category_Rainforest,Category_Rural,Category_Snow,Category_Spiritual,Category_Valley,Category_Waterfall,Category_Wildlife,Hotel_City,Airport_City,Flight_Available,Average_Hotel_Rating,Average_Hotel_Price,Minimum_Hotel_Price,Maximum_Hotel_Price,Number_of_Hotels,Average_Flight_Cost,Minimum_Flight_Cost,Maximum_Flight_Cost,Number_of_Routes,Hotel_Data_Available,Supporting_Data_Available,Temperature,Feels_Like,Humidity,Pressure,Weather,Weather_Description,Wind_Speed,Cloudiness
Manali,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Manali Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Manali,0,,,,,,,,,,0,0,33.05,38.26,56,1008,Clouds,overcast clouds,5.57,100
Tawang,Arunachal Pradesh,Mountain,Mar-Jun,35000,5,Tawang Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Tawang,0,,,,,,,,,,0,0,20.73,20.45,61,1011,Rain,light rain,3.26,98
Khajjiar,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Khajjiar Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Khajjiar,0,,,,,,,,,,0,0,23.3,23.54,71,1008,Clear,clear sky,2.03,9
Spiti Valley,Himachal Pradesh,Adventure,Mar-Jun,35000,5,Spiti Valley Airport,High,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Spiti Valley,0,,,,,,,,,,0,0,27.87,26.77,24,1008,Clear,clear sky,2.39,0
Nubra Valley,Ladakh,Adventure,Mar-Jun,35000,5,Nubra Valley Airport,High,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Nubra Valley,0,,,,,,,,,,0,0,13.0,11.22,33,1007,Clear,clear sky,1.28,3
Pangong Lake,Ladakh,Lake,Oct-Mar,25000,3,Pangong Lake Airport,High,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Pangong Lake,0,,,,,,,,,,0,0,14.83,13.49,43,1010,Clear,clear sky,3.02,7
Ooty,Tamil Nadu,Hill Station,Mar-Jun,35000,5,Ooty Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Ooty,0,,,,,,,,,,0,0,16.82,16.28,66,1014,Clouds,overcast clouds,1.78,100
Munnar,Kerala,Hill Station,Mar-Jun,35000,5,Munnar Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Munnar,0,,,,,,,,,,0,0,20.0,19.96,73,1015,Clouds,overcast clouds,3.2,95
Kanyakumari,Tamil Nadu,Coastal,Nov-Feb,30000,4,Kanyakumari Airport,High,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kanyakumari,Kanyakumari,0,4.1000000000000005,2043.7727272727277,743.0,4845.0,22.0,,,,,1,1,28.82,34.04,79,1012,Clouds,broken clouds,10.48,80
Rann Of Kutch,Gujarat,Desert,Oct-Mar,25000,3,Rann of Kutch Airport,High,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Rann of Kutch,0,,,,,,,,,,0,0,30.4,33.61,60,1006,Clouds,overcast clouds,7.69,88
Dhanushkodi,Tamil Nadu,Coastal,Nov-Feb,30000,4,Dhanushkodi Airport,High,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Dhanushkodi,0,,,,,,,,,,0,0,29.12,33.38,72,1012,Clouds,broken clouds,5.74,84
Chitrakote Falls,Chhattisgarh,Waterfall,Oct-Mar,25000,3,Chitrakote Falls Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Chitrakote Falls,0,,,,,,,,,,0,0,22.6,23.47,98,1006,Rain,light rain,2.79,100
Gokarna,Karnataka,Beach,Nov-Feb,30000,4,Gokarna Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Gokarna,0,,,,,,,,,,0,0,27.83,30.72,73,1012,Rain,light rain,4.62,99
Pondicherry,Puducherry,Coastal,Nov-Feb,30000,4,Pondicherry Airport,High,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pondicherry,Pondicherry,1,4.063636363636364,3034.6363636363635,904.0,9698.0,22.0,3550.0,3400.0,3700.0,2.0,1,1,30.21,35.56,70,1009,Clouds,overcast clouds,3.09,100
Hampi,Karnataka,Heritage,Oct-Mar,22000,3,Hampi Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Hampi,0,,,,,,,,,,0,0,28.91,30.45,57,1011,Clouds,broken clouds,9.04,66
Majuli Island,Assam,Island,Nov-Feb,30000,4,Majuli Island Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Majuli Island,0,,,,,,,,,,0,0,30.14,37.14,86,1005,Rain,light rain,1.82,100
Araku Valley,Andhra Pradesh,Valley,Mar-Jun,35000,5,Araku Valley Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Araku Valley,0,,,,,,,,,,0,0,21.82,22.38,89,1007,Clouds,overcast clouds,4.68,100
Varkala,Kerala,Beach,Nov-Feb,30000,4,Varkala Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varkala,Varkala,0,4.309523809523809,2967.904761904762,1043.0,8048.0,21.0,,,,,1,1,27.73,30.52,73,1014,Clouds,overcast clouds,4.65,97
Havelock Island,Andaman & Nicobar,Island,Nov-Feb,30000,4,Havelock Island Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Havelock Island,0,,,,,,,,,,0,0,30.02,37.02,79,1011,Clouds,overcast clouds,6.17,100
Neil Island,Andaman & Nicobar,Island,Nov-Feb,30000,4,Neil Island Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Neil Island,0,,,,,,,,,,0,0,30.02,37.02,79,1011,Clouds,overcast clouds,6.17,100
Shillong,Meghalaya,Hill Station,Mar-Jun,35000,5,Shillong Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Shillong,1,,,,,,3472.7272727272725,2200.0,6900.0,11.0,0,1,23.02,23.7,89,1009,Rain,light rain,0.0,100
Cherrapunji,Meghalaya,Nature,Oct-Mar,25000,3,Cherrapunji Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Cherrapunji,0,,,,,,,,,,0,0,22.43,22.92,84,1008,Clouds,overcast clouds,2.13,100
Dawki,Meghalaya,Nature,Oct-Mar,25000,3,Dawki Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Dawki,0,,,,,,,,,,0,0,30.72,37.72,84,1007,Rain,light rain,1.67,100
Krang Suri Falls,Meghalaya,Waterfall,Oct-Mar,25000,3,Krang Suri Falls Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Krang Suri Falls,0,,,,,,,,,,0,0,25.07,25.64,77,1008,Clouds,overcast clouds,2.19,100
Rishikesh,Uttarakhand,Adventure,Mar-Jun,35000,5,Rishikesh Airport,High,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Rishikesh,0,,,,,,,,,,0,0,29.05,36.05,94,1006,Rain,light rain,1.54,19
Haridwar,Uttarakhand,Spiritual,Oct-Mar,18000,2,Haridwar Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Haridwar,0,,,,,,,,,,0,0,28.44,33.6,82,1006,Clouds,few clouds,1.73,14
Amritsar,Punjab,Spiritual,Oct-Mar,18000,2,Amritsar Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Amritsar,Amritsar,1,4.308333333333334,4087.8333333333335,732.0,11800.0,24.0,3536.842105263158,2100.0,5900.0,19.0,1,1,28.97,33.42,74,1005,Clouds,few clouds,2.57,18
Kanatal,Uttarakhand,Hill Station,Mar-Jun,35000,5,Kanatal Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Kanatal,0,,,,,,,,,,0,0,22.97,23.65,89,1008,Rain,moderate rain,1.96,14
Binsar,Uttarakhand,Wildlife,Oct-Mar,25000,3,Binsar Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Binsar,0,,,,,,,,,,0,0,23.06,23.41,76,1007,Rain,moderate rain,0.82,93
Munsiyari,Uttarakhand,Mountain,Mar-Jun,35000,5,Munsiyari Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Munsiyari,0,,,,,,,,,,0,0,19.54,19.38,70,1012,Clouds,overcast clouds,1.54,100
Chakrata,Uttarakhand,Hill Station,Mar-Jun,35000,5,Chakrata Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Chakrata,0,,,,,,,,,,0,0,21.6,21.93,81,1008,Rain,light rain,1.88,33
Kanha National Park,Madhya Pradesh,Wildlife,Oct-Mar,25000,3,Kanha National Park Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Kanha National Park,0,,,,,,,,,,0,0,25.79,26.77,90,1006,Rain,light rain,3.73,99
Ranthambore National Park,Rajasthan,Wildlife,Oct-Mar,25000,3,Ranthambore National Park Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Ranthambore National Park,0,,,,,,,,,,0,0,32.69,36.23,52,1005,Clouds,broken clouds,3.81,81
Bandhavgarh National Park,Madhya Pradesh,Wildlife,Oct-Mar,25000,3,Bandhavgarh National Park Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Bandhavgarh National Park,0,,,,,,,,,,0,0,27.09,30.45,85,1006,Clouds,overcast clouds,2.66,100
Tadoba Andhari Tiger Reserve,Maharashtra,Wildlife,Oct-Mar,25000,3,Tadoba Andhari Tiger Reserve Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Tadoba Andhari Tiger Reserve,0,,,,,,,,,,0,0,24.69,25.67,94,1007,Clouds,overcast clouds,5.18,100
Lakshadweep Circuit,Lakshadweep,Island,Nov-Feb,30000,4,Lakshadweep Circuit Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Lakshadweep Circuit,0,,,,,,,,,,0,0,28.31,32.05,75,1013,Clouds,broken clouds,7.79,61
Kalpeni Island,Lakshadweep,Island,Nov-Feb,30000,4,Kalpeni Island Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Kalpeni Island,0,,,,,,,,,,0,0,28.31,32.05,75,1013,Clouds,broken clouds,7.79,61
Jaisalmer,Rajasthan,Desert,Oct-Mar,25000,3,Jaisalmer Airport,High,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jaisalmer,1,,,,,,2700.0,2000.0,3800.0,8.0,0,1,31.39,33.28,50,1004,Clear,clear sky,7.29,2
Kutch Interior Circuit,Gujarat,Cultural,Oct-Mar,22000,3,Kutch Interior Circuit Airport,High,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kutch Interior Circuit,0,,,,,,,,,,0,0,30.4,33.61,60,1006,Clouds,overcast clouds,7.69,88
Wayanad,Kerala,Hill Station,Mar-Jun,35000,5,Wayanad Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Wayanad,0,,,,,,,,,,0,0,23.81,24.18,74,1014,Rain,light rain,2.25,100
Tamhini Ghat & Mulshi,Maharashtra,Nature,Oct-Mar,25000,3,Tamhini Ghat & Mulshi Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Tamhini Ghat & Mulshi,0,,,,,,,,,,0,0,23.85,24.25,75,1011,Rain,light rain,3.88,72
Mahabaleshwar & Panchgani,Maharashtra,Hill Station,Mar-Jun,35000,5,Mahabaleshwar & Panchgani Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Mahabaleshwar & Panchgani,0,,,,,,,,,,0,0,22.8,23.15,77,1011,Rain,light rain,2.97,92
Chikmagalur,Karnataka,Hill Station,Mar-Jun,35000,5,Chikmagalur Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Chikmagalur,0,,,,,,,,,,0,0,23.66,23.94,71,1014,Clouds,overcast clouds,4.54,97
Amboli Ghat,Maharashtra,Nature,Oct-Mar,25000,3,Amboli Ghat Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Amboli Ghat,0,,,,,,,,,,0,0,24.82,25.68,89,1012,Rain,light rain,2.84,95
Agumbe,Karnataka,Rainforest,Oct-Mar,25000,3,Agumbe Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Agumbe,0,,,,,,,,,,0,0,23.63,24.19,82,1013,Rain,light rain,2.54,99
Kudremukh,Karnataka,Mountain,Mar-Jun,35000,5,Kudremukh Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Kudremukh,0,,,,,,,,,,0,0,23.48,24.0,81,1014,Rain,light rain,2.21,100
Port Blair,Andaman & Nicobar,Island,Nov-Feb,30000,4,Port Blair Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Port Blair,1,,,,,,6628.571428571428,6000.0,7600.0,7.0,0,1,30.02,37.02,79,1011,Clouds,overcast clouds,6.17,100
Darjeeling,West Bengal,Hill Station,Mar-Jun,35000,5,Darjeeling Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Darjeeling,0,,,,,,,,,,0,0,24.39,24.61,66,1007,Clouds,overcast clouds,2.63,95
Gangtok,Sikkim,Hill Station,Mar-Jun,35000,5,Gangtok Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Gangtok,0,,,,,,,,,,0,0,27.66,30.14,71,1008,Rain,light rain,2.45,98
North Sikkim,Sikkim,Adventure,Mar-Jun,35000,5,North Sikkim Airport,High,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,North Sikkim,0,,,,,,,,,,0,0,30.92,34.68,60,1009,Clouds,overcast clouds,2.64,95
Meghalaya Circuit,Meghalaya,Nature,Oct-Mar,25000,3,Meghalaya Circuit Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Meghalaya Circuit,0,,,,,,,,,,0,0,23.02,23.7,89,1009,Rain,light rain,0.0,100
Kaziranga,Assam,Wildlife,Oct-Mar,25000,3,Kaziranga Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Kaziranga,0,,,,,,,,,,0,0,32.37,39.37,77,1005,Clouds,overcast clouds,0.49,100
Khajuraho & Panna,Madhya Pradesh,Heritage,Oct-Mar,22000,3,Khajuraho & Panna Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Khajuraho & Panna,0,,,,,,,,,,0,0,31.05,38.05,79,1005,Clouds,overcast clouds,2.06,100
Orchha,Madhya Pradesh,Heritage,Oct-Mar,22000,3,Orchha Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Orchha,0,,,,,,,,,,0,0,30.35,35.91,70,1005,Rain,light rain,1.56,90
Almora & Kasar Devi,Uttarakhand,Hill Station,Mar-Jun,35000,5,Almora & Kasar Devi Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Almora & Kasar Devi,0,,,,,,,,,,0,0,25.89,26.55,77,1008,Rain,moderate rain,0.46,93
Jibhi & Tirthan,Himachal Pradesh,Nature,Oct-Mar,25000,3,Jibhi & Tirthan Airport,High,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Jibhi & Tirthan,0,,,,,,,,,,0,0,20.39,20.26,68,1009,Clear,clear sky,1.99,3
Chitkul & Baspa,Himachal Pradesh,Mountain,Mar-Jun,35000,5,Chitkul & Baspa Airport,High,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Chitkul & Baspa,0,,,,,,,,,,0,0,10.02,8.85,68,1014,Rain,light rain,3.32,62
Miyar Valley,Himachal Pradesh,Adventure,Mar-Jun,35000,5,Miyar Valley Airport,High,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Miyar Valley,0,,,,,,,,,,0,0,14.19,13.15,57,1014,Clouds,few clouds,2.72,12
Keoladeo National Park,Rajasthan,Bird Sanctuary,Oct-Mar,25000,3,Keoladeo National Park Airport,High,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Keoladeo National Park,0,,,,,,,,,,0,0,33.85,37.74,49,1004,Clouds,broken clouds,2.36,67
Ranganathittu Bird Sanctuary,Karnataka,Bird Sanctuary,Oct-Mar,25000,3,Ranganathittu Bird Sanctuary Airport,High,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Ranganathittu Bird Sanctuary,0,,,,,,,,,,0,0,25.0,25.46,73,1014,Clouds,overcast clouds,6.17,100
Nal Sarovar,Gujarat,Bird Sanctuary,Oct-Mar,25000,3,Nal Sarovar Airport,High,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Nal Sarovar,0,,,,,,,,,,0,0,28.02,30.07,65,1007,Clouds,broken clouds,2.57,55
Great Rann Of Kutch,Gujarat,Desert,Oct-Mar,25000,3,Great Rann of Kutch Airport,High,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Great Rann of Kutch,0,,,,,,,,,,0,0,30.4,33.61,60,1006,Clouds,overcast clouds,7.69,88
Maravanthe,Karnataka,Beach,Nov-Feb,30000,4,Maravanthe Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Maravanthe,0,,,,,,,,,,0,0,28.26,31.33,71,1013,Rain,light rain,3.32,99
Astaranga & Ramachandi,Odisha,Beach,Nov-Feb,30000,4,Astaranga & Ramachandi Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Astaranga & Ramachandi,0,,,,,,,,,,0,0,27.28,30.94,85,1004,Clouds,overcast clouds,3.83,100
Unakoti,Tripura,Heritage,Oct-Mar,22000,3,Unakoti Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Unakoti,0,,,,,,,,,,0,0,32.37,39.37,70,1005,Rain,light rain,0.7,100
Mamallapuram,Tamil Nadu,Heritage,Oct-Mar,22000,3,Mamallapuram Airport,High,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Mamallapuram,0,,,,,,,,,,0,0,31.98,37.96,63,1009,Clouds,overcast clouds,4.87,100
Hidden Goa Coves,Goa,Beach,Nov-Feb,30000,4,Hidden Goa Coves Airport,High,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Hidden Goa Coves,0,,,,,,,,,,0,0,28.21,32.46,79,1012,Rain,light rain,3.54,93
Bangaram & Kadmat,Lakshadweep,Island,Nov-Feb,30000,4,Bangaram & Kadmat Airport,High,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Bangaram & Kadmat,0,,,,,,,,,,0,0,28.31,32.05,75,1013,Clouds,broken clouds,7.79,61
Malanad–Malabar Belt,Kerala,Rural,Oct-Mar,25000,3,Malanad–Malabar Belt Airport,High,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Malanad–Malabar Belt,0,,,,,,,,,,0,0,28.65,31.65,68,1013,Clouds,overcast clouds,2.02,100
Krishna Heritage Circuit,Uttar Pradesh/Gujarat,Spiritual,Oct-Mar,18000,2,Krishna Heritage Circuit Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Krishna Heritage Circuit,0,,,,,,,,,,0,0,28.97,33.42,74,1007,Clouds,overcast clouds,7.2,100
Rishikesh & Haridwar Route,Uttarakhand,Spiritual,Oct-Mar,18000,2,Rishikesh & Haridwar Route Airport,High,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Rishikesh & Haridwar Route,0,,,,,,,,,,0,0,29.05,36.05,94,1006,Rain,light rain,1.54,19
