destination,sight_score,park_score,restaurant_score,water_score,forest_score,wetland_score,river_score,mountain_score,coastal_score,sand_score,protected_area_score,sights_capped,park_capped,restaurant_capped,natural_capped,country,latitude,longitude,temperature,feels_like,humidity,pressure,wind_speed,cloudiness,weather_condition,weather_description,visibility,rain_1h,timestamp
Munnar,0.23,0.45,0.3,0.96,0.49,0.24,0.21,0.53,0.43,0.44,0.3,False,False,False,True,IN,10.1,77.0667,16.23,16.42,96,1016,2.11,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T14:28:58+00:00
Mussoorie,0.53,0.71,0.22,0.13,0.35,0.24,0.21,0.69,0.43,0.44,0.76,False,False,False,False,IN,30.45,78.0833,15.78,15.84,93,1008,1.69,77,Clouds,broken clouds,10000.0,0.0,2026-08-25T15:51:29+00:00
Mysore,0.66,0.66,0.81,0.64,0.6,0.53,0.21,0.53,0.43,0.92,0.3,False,True,True,False,IN,12.3072,76.6497,22.34,22.9,87,1015,5.0,72,Clouds,broken clouds,10000.0,0.0,2026-08-25T15:44:25+00:00
Nainital,0.16,0.36,0.11,0.21,0.97,0.24,0.21,0.69,0.43,0.44,0.3,False,False,False,False,IN,29.3974,79.4469,13.11,12.75,87,1008,1.22,99,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:51:33+00:00
Ooty,0.53,0.41,0.33,0.27,0.7,0.24,0.21,0.77,0.43,0.44,0.3,False,False,False,False,IN,11.4,76.7,12.71,12.41,91,1016,1.93,99,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:47:03+00:00
Pahalgam,0.06,0.07,0.14,0.06,0.39,0.24,0.21,0.22,0.43,0.44,0.76,False,False,False,False,IN,34.0333,75.3333,12.64,11.89,74,1015,1.95,0,Clear,clear sky,10000.0,0.0,2026-08-25T15:49:36+00:00
Pondicherry,0.86,0.56,0.57,0.5,0.94,0.7,0.5,0.22,0.92,0.44,0.3,False,False,True,True,IN,11.93,79.83,28.19,31.04,70,1009,6.17,100,Rain,light rain,10000.0,0.25,2026-08-25T15:46:56+00:00
Pune,0.84,0.91,0.99,0.75,0.65,0.82,0.8,0.88,0.43,0.98,0.3,False,True,True,True,IN,18.5196,73.8553,23.97,24.2,68,1011,3.63,75,Clouds,broken clouds,10000.0,0.0,2026-08-25T15:48:59+00:00
Ranchi,0.28,0.58,0.45,0.8,0.68,0.63,0.21,0.53,0.43,0.44,0.3,False,False,False,False,IN,23.35,85.3333,25.06,26.08,94,1006,2.06,100,Rain,heavy intensity rain,10000.0,4.1,2026-08-25T15:48:46+00:00
Ranthambore,0.23,0.32,0.2,0.13,0.39,0.24,0.21,0.69,0.43,0.44,0.76,False,False,False,False,IN,26.0189,76.3522,28.65,32.49,73,1004,2.72,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:54:44.365569+00:00
Rishikesh,0.34,0.52,0.75,0.47,0.45,0.7,0.94,0.95,0.43,0.92,0.76,False,False,True,False,IN,30.1167,78.3167,26.05,26.05,94,1006,1.54,83,Clouds,broken clouds,10000.0,0.0,2026-08-25T15:49:04+00:00
Shillong,0.28,0.24,0.33,0.36,0.88,0.24,0.62,0.53,0.43,1.0,0.3,False,False,False,False,IN,25.5689,91.8831,18.63,19.06,96,1010,1.91,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:51:49+00:00
Shimla,0.47,0.24,0.28,0.06,0.97,0.24,0.21,0.95,0.43,0.44,0.76,False,False,False,True,IN,31.1,77.1667,16.08,16.12,91,1008,0.96,25,Clouds,scattered clouds,10000.0,0.0,2026-08-25T15:51:56+00:00
Srinagar,0.59,0.8,0.93,0.75,0.72,0.87,0.99,0.77,0.43,0.44,0.3,False,True,True,False,IN,34.0833,74.8167,23.36,23.74,76,1007,2.01,2,Clear,clear sky,10000.0,0.0,2026-08-25T15:51:43+00:00
Thiruvananthapuram,0.88,0.96,0.75,0.94,0.52,0.53,0.62,0.53,0.89,0.44,0.3,False,True,True,True,IN,8.4833,76.9167,26.99,30.6,89,1014,3.09,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:48:52+00:00
Udaipur,0.66,0.66,0.72,0.57,0.8,0.53,0.5,0.53,0.43,0.44,0.76,False,False,True,False,IN,24.5712,73.6918,25.5,26.43,89,1008,3.5,87,Rain,moderate rain,10000.0,1.75,2026-08-25T15:50:43+00:00
Varanasi,0.39,0.74,0.68,0.9,0.54,0.53,0.62,0.22,0.43,0.92,0.76,False,True,False,False,IN,25.3333,83.0,27.05,31.32,94,1002,2.06,99,Rain,heavy intensity rain,9949.0,13.32,2026-08-25T15:52:02+00:00
Varkala,0.71,0.62,0.78,0.78,0.62,0.63,0.44,0.81,0.98,0.44,0.3,False,False,True,True,IN,8.7341,76.7067,25.02,25.88,88,1014,2.85,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:52:03+00:00
Wayanad,0.47,0.41,0.11,0.99,0.09,0.24,0.21,0.22,0.43,0.44,0.76,False,False,False,True,IN,11.7151,76.1271,20.58,21.2,96,1015,1.67,98,Clouds,overcast clouds,230.0,0.0,2026-08-25T15:54:28.806274+00:00
