origin,destination,departure_date,return_date,outbound_airline,outbound_flight_number,outbound_departure,outbound_arrival,outbound_duration,outbound_stops,return_airline,return_flight_number,return_departure,return_arrival,return_duration,return_stops,total_duration,price,currency,travel_class
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,IndiGo,6E 6362,2026-09-18 05:45,2026-09-18 07:20,95,0,190,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,IndiGo,6E 5386,2026-09-18 15:10,2026-09-18 16:45,95,0,190,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,Air India,AI 2869,2026-09-18 21:25,2026-09-18 23:05,100,0,195,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,Air India,AI 2625,2026-09-18 06:00,2026-09-18 07:35,95,0,190,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,Air India,AI 417,2026-09-18 08:55,2026-09-18 10:35,100,0,195,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,Air India,AI 2531,2026-09-18 15:05,2026-09-18 16:35,90,0,185,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,IndiGo,6E 5246,2026-09-18 07:15,2026-09-18 08:50,95,0,190,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,IndiGo,6E 5178,2026-09-18 11:45,2026-09-18 13:20,95,0,190,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,Air India,AI 2444,2026-09-18 10:50,2026-09-18 12:25,95,0,190,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,Air India,AI 2619,2026-09-18 18:00,2026-09-18 19:35,95,0,190,12057,INR,Economy
HYD,BOM,2026-09-15,2026-09-18,IndiGo,6E 5143,2026-09-15 03:00,2026-09-15 04:35,95,0,IndiGo,6E 5318,2026-09-18 10:15,2026-09-18 11:40,85,0,180,12057,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 304,2026-09-18 12:05,2026-09-18 13:40,95,0,320,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 6235,2026-09-18 13:50,2026-09-18 15:25,95,0,320,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 6011,2026-09-18 13:55,2026-09-18 17:25,210,1,435,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 6535,2026-09-18 09:40,2026-09-18 17:45,485,1,710,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 196,2026-09-18 12:00,2026-09-18 21:00,540,1,765,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 472,2026-09-18 21:40,2026-09-19 07:35,595,1,820,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 738,2026-09-18 16:05,2026-09-18 19:45,220,1,445,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 913,2026-09-18 09:30,2026-09-18 11:05,95,0,320,14132,INR,Economy
HYD,COK,2026-09-15,2026-09-18,IndiGo,6E 6417,2026-09-15 17:45,2026-09-15 21:30,225,1,IndiGo,6E 6681,2026-09-18 16:05,2026-09-18 17:35,90,0,315,14132,INR,Economy
HYD,SXR,2026-09-15,2026-09-18,Air India,AI 1806,2026-09-15 03:00,2026-09-15 09:10,370,1,Air India,AI 2662,2026-09-18 13:50,2026-09-18 19:35,345,1,715,18867,INR,Economy
HYD,SXR,2026-09-15,2026-09-18,Air India,AI 1806,2026-09-15 03:00,2026-09-15 09:10,370,1,Air India,AI 2554,2026-09-18 09:55,2026-09-18 14:45,290,1,660,18867,INR,Economy
HYD,SXR,2026-09-15,2026-09-18,Air India,AI 1806,2026-09-15 03:00,2026-09-15 09:10,370,1,Air India,AI 1893,2026-09-18 12:10,2026-09-18 18:20,370,1,740,18867,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,IndiGo,6E 6404,2026-09-18 11:35,2026-09-18 12:50,75,0,160,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,IndiGo,6E 6067,2026-09-18 16:30,2026-09-18 17:45,75,0,160,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,IndiGo,6E 638,2026-09-18 18:35,2026-09-18 19:45,70,0,155,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,IndiGo,6E 6178,2026-09-18 06:25,2026-09-18 07:35,70,0,155,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,IndiGo,6E 484,2026-09-18 08:15,2026-09-18 09:30,75,0,160,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,IndiGo,6E 312,2026-09-18 09:15,2026-09-18 10:30,75,0,160,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,IndiGo,6E 537,2026-09-18 10:15,2026-09-18 11:30,75,0,160,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,IndiGo,6E 6784,2026-09-18 21:30,2026-09-18 22:45,75,0,160,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,IndiGo,6E 855,2026-09-18 19:45,2026-09-18 21:00,75,0,160,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,Air India Express,IX 2018,2026-09-18 06:05,2026-09-18 07:25,80,0,165,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,Air India Express,IX 2819,2026-09-18 12:30,2026-09-18 13:50,80,0,165,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,Air India Express,IX 2506,2026-09-18 17:15,2026-09-18 18:40,85,0,170,8776,INR,Economy
HYD,BLR,2026-09-15,2026-09-18,IndiGo,6E 413,2026-09-15 06:15,2026-09-15 07:40,85,0,Air India Express,IX 1250,2026-09-18 19:15,2026-09-18 20:25,70,0,155,8776,INR,Economy
