Destination,Temperature,Feels_Like,Humidity,Pressure,Weather,Weather_Description,Wind_Speed,Cloudiness
Rameswaram,29.12,33.38,72,1012,Clouds,broken clouds,5.74,84
Gulmarg,17.63,17.12,64,1011,Clear,clear sky,1.31,0
Auli,11.96,11.25,78,1014,Clouds,overcast clouds,1.63,97
Tiruvannamalai,31.64,34.17,52,1009,Clouds,overcast clouds,6.31,100
Amarkantak,24.39,25.05,83,1006,Rain,moderate rain,2.32,94
Ladakh (Leh),14.83,13.49,43,1010,Clear,clear sky,3.02,7
Varanasi (Kashi),30.05,37.05,84,1003,Clouds,overcast clouds,0.0,100
Kerala Backwaters (Alappuzha & Kumarakom),27.38,30.04,75,1014,Clouds,broken clouds,3.56,58
Coorg (Kodagu),22.02,22.47,84,1015,Rain,light rain,2.59,100
Ziro Valley,22.55,22.9,78,1008,Rain,light rain,0.52,100
Mawlynnong & Nearby,23.02,23.7,89,1009,Rain,light rain,0.0,100
Spiti Valley,27.87,26.77,24,1008,Clear,clear sky,2.39,0
Pangong Lake,14.83,13.49,43,1010,Clear,clear sky,3.02,7
Rann Of Kutch,30.4,33.61,60,1006,Clouds,overcast clouds,7.69,88
Dhanushkodi,29.12,33.38,72,1012,Clouds,broken clouds,5.74,84
Chitrakote Falls,22.6,23.47,98,1006,Rain,light rain,2.79,100
Majuli Island,30.14,37.14,86,1005,Rain,light rain,1.82,100
Havelock Island,30.02,37.02,79,1011,Clouds,overcast clouds,6.17,100
Neil Island,30.02,37.02,79,1011,Clouds,overcast clouds,6.17,100
Krang Suri Falls,25.07,25.64,77,1008,Clouds,overcast clouds,2.19,100
Kanha National Park,25.79,26.77,90,1006,Rain,light rain,3.73,99
Ranthambore National Park,32.69,36.23,52,1005,Clouds,broken clouds,3.81,81
Bandhavgarh National Park,27.09,30.45,85,1006,Clouds,overcast clouds,2.66,100
Tadoba Andhari Tiger Reserve,24.69,25.67,94,1007,Clouds,overcast clouds,5.18,100
Lakshadweep Circuit,28.31,32.05,75,1013,Clouds,broken clouds,7.79,61
Kalpeni Island,28.31,32.05,75,1013,Clouds,broken clouds,7.79,61
Kutch Interior Circuit,30.4,33.61,60,1006,Clouds,overcast clouds,7.69,88
Wayanad,23.81,24.18,74,1014,Rain,light rain,2.25,100
Tamhini Ghat & Mulshi,23.85,24.25,75,1011,Rain,light rain,3.88,72
Mahabaleshwar & Panchgani,22.8,23.15,77,1011,Rain,light rain,2.97,92
Amboli Ghat,24.82,25.68,89,1012,Rain,light rain,2.84,95
Kudremukh,23.48,24.0,81,1014,Rain,light rain,2.21,100
North Sikkim,30.92,34.68,60,1009,Clouds,overcast clouds,2.64,95
Meghalaya Circuit,23.02,23.7,89,1009,Rain,light rain,0.0,100
Khajuraho & Panna,31.05,38.05,79,1005,Clouds,overcast clouds,2.06,100
Almora & Kasar Devi,25.89,26.55,77,1008,Rain,moderate rain,0.46,93
Jibhi & Tirthan,20.39,20.26,68,1009,Clear,clear sky,1.99,3
Keoladeo National Park,33.85,37.74,49,1004,Clouds,broken clouds,2.36,67
Ranganathittu Bird Sanctuary,25.0,25.46,73,1014,Clouds,overcast clouds,6.17,100
Nal Sarovar,28.02,30.07,65,1007,Clouds,broken clouds,2.57,55
Great Rann Of Kutch,30.4,33.61,60,1006,Clouds,overcast clouds,7.69,88
Maravanthe,28.26,31.33,71,1013,Rain,light rain,3.32,99
Astaranga & Ramachandi,27.28,30.94,85,1004,Clouds,overcast clouds,3.83,100
Unakoti,32.37,39.37,70,1005,Rain,light rain,0.7,100
Hidden Goa Coves,28.21,32.46,79,1012,Rain,light rain,3.54,93
Bangaram & Kadmat,28.31,32.05,75,1013,Clouds,broken clouds,7.79,61
Malanad–Malabar Belt,28.65,31.65,68,1013,Clouds,overcast clouds,2.02,100
Krishna Heritage Circuit,28.97,33.42,74,1007,Clouds,overcast clouds,7.2,100
Rishikesh & Haridwar Route,29.05,36.05,94,1006,Rain,light rain,1.54,19
Varanasi Ganga Ghats,30.05,37.05,84,1003,Clouds,overcast clouds,0.0,100
Hampi & Pattadakal,28.91,30.45,57,1011,Clouds,broken clouds,9.04,66
Haridwar–Char Dham Trail,28.44,33.6,82,1006,Clouds,few clouds,1.73,14
Dharamshala & Mcleod Ganj,23.24,23.55,74,1009,Rain,light rain,2.7,16
Nubra Valley,13.0,11.22,33,1007,Clear,clear sky,1.28,3
Araku Valley,21.82,22.38,89,1007,Clouds,overcast clouds,4.68,100
Dawki,30.72,37.72,84,1007,Rain,light rain,1.67,100
Kanatal,22.97,23.65,89,1008,Rain,moderate rain,1.96,14
Munsiyari,19.54,19.38,70,1012,Clouds,overcast clouds,1.54,100
Kaziranga,32.37,39.37,77,1005,Clouds,overcast clouds,0.49,100
Chitkul & Baspa,10.02,8.85,68,1014,Rain,light rain,3.32,62
Miyar Valley,14.19,13.15,57,1014,Clouds,few clouds,2.72,12
