destination_id,destination,search_query,resolved_name,country,country_code,state,state_code,latitude,longitude,result_type,formatted_address,confidence,match_type,place_id
15,Gangtok,Gangtok,Gangtok,India,in,Sikkim,SK,27.329046,88.6122673,city,"Gangtok, SK, India",1.0,full_match,51417a2f632f275640592fe1d05b3c543b40f00103f901d5fe631400000000c0020892030747616e67746f6b
16,Ooty,"Ooty, Tamil Nadu, India",Udhagamandalam,India,in,Tamil Nadu,TN,11.4126769,76.7030504,city,"Udhagamandalam, TN, India",0.0,full_match,5124dc1ac7fe2c5340591ba1fa624ad32640f00103f9017370a30e00000000c0020892030e5564686167616d616e64616c616d
17,Kodaikanal,Kodaikanal,Kodaikanal,India,in,Tamil Nadu,TN,10.233712,77.4919719,city,"Kodaikanal, TN, India",1.0,full_match,514343b5777c5f534059925d6919a9772440f00102f901fd34d52700000000c0020892030a4b6f6461696b616e616c
18,Coorg,Coorg,Coorg,India,in,Karnataka,KA,12.3827332,75.6640715,county,"Coorg, India",1.0,full_match,512aadbf2580ea524059d62f229bf5c32840f00101f9019fd41e0000000000c00209920305436f6f7267
19,Wayanad,Wayanad,Wayanad,India,in,Kerala,KL,11.7151291,76.1271185,county,"Wayanad, India",1.0,full_match,51dc0da2b52208534059f9d5c166256e2740f00101f9019bcb1e0000000000c00209920307576179616e6164
20,Alappuzha,Alappuzha,Alappuzha,India,in,Kerala,KL,9.4923271,76.3291487,city,"Alappuzha, KL, India",1.0,full_match,515781b5c510155340597ade324c12fc2240f00103f901e950a30e00000000c00208920309416c617070757a6861
21,Kochi,"Kochi, Kerala, India",Kochi,India,in,Kerala,KL,9.9679032,76.2444378,city,"Kochi, KL, India",1.0,full_match,51ff3971dea40f53405933631b0291ef2340f00103f901c6f73ae600000000c002089203054b6f636869
22,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,India,in,Kerala,KL,8.4882267,76.947551,city,"Thiruvananthapuram, KL, India",1.0,full_match,51b212f3aca43c53405969119bd9f8f92040f00103f9017846a30e00000000c00208920312546869727576616e616e746861707572616d
23,Varkala,Varkala,Varkala,India,in,Kerala,KL,8.7340434,76.7252855,city,"Varkala, KL, India",1.0,full_match,51d5b0df136b2e53405975b05989d4772140f00103f901d644a24600000000c002089203075661726b616c61
24,Pondicherry,"Puducherry, India",Puducherry,India,in,Puducherry,PY,11.9340568,79.8306447,city,"Puducherry, PY, India",1.0,full_match,512046634829f55340597c3661b13cde2740f00103f901828fa30e00000000c0020892030a50756475636865727279
25,Mahabalipuram,Mahabalipuram,Mahabalipuram,India,in,Tamil Nadu,TN,12.6195981,80.1936497,city,"Mahabalipuram, TN, India",1.0,full_match,515518b6c1640c544059d55350f63b3d2940f00103f9018ed6ca7001000000c0020892030d4d61686162616c69707572616d
26,Hampi,Hampi,Hampi,India,in,Karnataka,KA,15.3358,76.4610201,city,"Hampi, KA, India",1.0,full_match,511d13735a811d5340595dfe43faedab2e40f00103f90120f6911400000000c0020892030548616d7069
27,Mysore,Mysore,Mysuru,India,in,Karnataka,KA,12.3051828,76.6553609,city,"Mysuru, KA, India",1.0,full_match,51f024d86ef1295340597a9a82eb409c2840f00103f901705e477b00000000c002089203064d7973757275
28,Gokarna,Gokarna,Gokarna,India,in,Karnataka,KA,14.5439629,74.3184418,city,"Gokarna, KA, India",1.0,full_match,517b2bb75961945240598279234e82162d40f00103f9019dfca30e00000000c00208920307476f6b61726e61
29,Andaman,Andaman,Andaman and Nicobar Islands,India,in,Andaman and Nicobar Islands,AN,12.6112387,92.8316541,state,"Andaman and Nicobar Islands, India",1.0,full_match,5165451ed239355740595f196547f4382940f00101f9017fe91e0000000000c0020a92031b416e64616d616e20616e64204e69636f6261722049736c616e6473
30,Mumbai,Mumbai,Mumbai,India,in,Maharashtra,MH,19.054999,72.8692035,city,"Mumbai, MH, India",1.0,full_match,516684b707a1375240590d501a6a140e3340f00103f901b3c8f60000000000c002089203064d756d626169
31,Delhi,"Delhi, India",New Delhi,India,in,,,28.6138954,77.2090057,city,"New Delhi, India",0.9,full_match,515e8b7159604d534059332aba3f289d3c40f00101f901152b2a0000000000c002089203094e65772044656c6869
32,Amritsar,Amritsar,Amritsar,India,in,Punjab,PB,31.6356659,74.8787496,city,"Amritsar, PB, India",1.0,full_match,51e157f66e3db8524059b2ae1b00bba23f40f00103f9016d30a60e00000000c00208920308416d726974736172
33,Ladakh,Ladakh,Ladakh,India,in,Ladakh,,33.9456407,77.6568576,state,"Ladakh, India",1.0,full_match,51428875f4096a5340591e2224c10af94040f00101f9012527540000000000c0020a9203064c6164616b68
34,Srinagar,Srinagar,Srinagar,India,in,Jammu and Kashmir,JK,34.0747444,74.8204443,city,"Srinagar, JK, India",1.0,full_match,51232ccf2882b452405992c7783991094140f00103f90171b44f1000000000c002089203085372696e61676172
35,Dharamshala,Dharamshala,Dharamshala,India,in,Himachal Pradesh,HP,32.2143039,76.3196717,city,"Dharamshala, HP, India",1.0,full_match,513b3d4a807514534059dff3684f6e1b4040f00103f9011e33a60e00000000c0020892030b44686172616d7368616c61
36,Kolkata,Kolkata,Kolkata,India,in,West Bengal,WB,22.5726459,88.3638953,city,"Kolkata, WB, India",1.0,full_match,51c22a830f4a1756405941b0f4eb98923640f00101f901f3258f0000000000c002089203074b6f6c6b617461
37,Bengaluru,Bengaluru,Bengaluru,India,in,Karnataka,KA,12.9767936,77.590082,city,"Bengaluru, KA, India",1.0,full_match,5154fd4ae7c3655340595ce26d4a1ef42940f00101f9010c95780000000000c0020892030942656e67616c757275
38,Hyderabad,Hyderabad,Hyderabad,India,in,Telangana,TG,17.360589,78.4740613,city,"Hyderabad, TG, India",1.0,full_match,5127f33405579e5340591f4c8a8f4f5c3140f00101f9017710780000000000c00208920309487964657261626164
39,Chennai,Chennai,Chennai,India,in,Tamil Nadu,TN,13.0836939,80.270186,city,"Chennai, TN, India",1.0,full_match,51927538ba4a11544059d8bf46edd92a2a40f00101f901d6f31a0000000000c002089203074368656e6e6169
40,Pune,Pune,Pune,India,in,Maharashtra,MH,18.5213738,73.8545071,city,"Pune, MH, India",1.0,full_match,51ca2c8c3eb076524059c2fddbc078853240f00103f9016dcdf60000000000c0020892030450756e65
41,Ahmedabad,Ahmedabad,Ahmedabad,India,in,Gujarat,GJ,23.0215374,72.5800568,city,"Ahmedabad, GJ, India",1.0,full_match,51a2748ea61f2552405910a49c7983053740f00103f9015d41a50e00000000c0020892030941686d656461626164
42,Bhopal,Bhopal,Bhopal,India,in,Madhya Pradesh,MP,23.2584857,77.401989,city,"Bhopal, MP, India",1.0,full_match,5183161230ba59534059d2fb6b1e2c423740f00103f901f346a50e00000000c0020892030642686f70616c
43,Indore,Indore,Indore,India,in,Madhya Pradesh,MP,22.7203616,75.8681996,city,"Indore, MP, India",1.0,full_match,519e190e9590f7524059534b299e69b83640f00103f901e338a50e00000000c00208920306496e646f7265
44,Ranchi,Ranchi,Ranchi,India,in,Jharkhand,JH,23.3700501,85.3250387,city,"Ranchi, JH, India",1.0,full_match,51cc9b1e6fcd54554059ac61759abb5e3740f00103f90109709d9500000000c0020892030652616e636869
45,Bhubaneswar,Bhubaneswar,Bhubaneswar (M.Corp.),India,in,Odisha,OR,20.2810577,85.8114026,county,"Bhubaneswar (M.Corp.), India",1.0,full_match,51ebb82b05ee73554059fbc9bd65f3473440f00101f901773c9a0000000000c0020992031542687562616e657377617220284d2e436f72702e29
46,Shillong,Shillong,Shillong,India,in,Meghalaya,ML,25.5759931,91.8827872,city,"Shillong, ML, India",1.0,full_match,51f454e2957ff8564059bf38a74874933940f00103f90164a1a50e00000000c002089203085368696c6c6f6e67
47,Kaziranga,Kaziranga,Kaziranga,India,in,Assam,AS,26.5892533,93.4084741,city,"Kaziranga, Kohara, AS, India",1.0,full_match,51d6308d70245a574059618fe44dd9963a40f00103f901475609d502000000c002089203094b617a6972616e6761
48,Jim Corbett,Jim Corbett,Jim Corbett National Park,India,in,Uttarakhand,UT,29.5574752,78.842495,amenity,"Jim Corbett National Park, Kotdwara, India",1.0,full_match,51c9022670ebb5534059c054d8b1b68e3d40f00101f90143d4000100000000c002019203194a696d20436f7262657474204e6174696f6e616c205061726b
49,Ranthambore,"Sawai Madhopur, Rajasthan, India",Sawai Madhopur,India,in,Rajasthan,RJ,26.0188919,76.3522441,city,"Sawai Madhopur, RJ, India",1.0,full_match,515f6dd62a8b16534059c8a87c19d6043a40f00103f901bc5b3a5600000000c0020892030e5361776169204d6164686f707572
50,Pahalgam,Pahalgam,Pahalgam,India,in,Jammu and Kashmir,JK,34.0322048,75.3226479,city,"Pahalgam, JK, India",1.0,full_match,51e1a76043a6d45240591a6371491f044140f00103f9018f0fd70900000000c00208920308506168616c67616d
