destination,sight_count,park_count,restaurant_count,water_count,forest_count,wetland_count,river_count,mountain_count,coastal_count,sand_count,protected_area_count,hotel_count,room_count,min_hotel_price,avg_hotel_price,max_hotel_price,avg_allotment,flight_count,min_flight_price,avg_flight_price,max_flight_price,avg_total_duration,avg_outbound_stops,avg_return_stops,weather_available,accommodation_available,flight_available,country,latitude,longitude,temperature,feels_like,humidity,pressure,wind_speed,cloudiness,weather_condition,weather_description,visibility,rain_1h,timestamp
Darjeeling,7,13,46,2,97,0,0,0,0,0,1,7.0,13.0,18.82,52.40978494623656,112.87,5.688172043010753,,,,,,,,1,1,0,IN,27.0333,88.2667,21.37,22.07,96,1003,1.14,93,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:11:38+00:00
Delhi,100,28,100,75,18,5,3,1,0,0,1,40.0,82.0,14.74,159.12367697594502,7642.72,12.740549828178692,29.0,14785.0,14785.0,14785.0,299.82758620689657,0.0,0.1379310344827586,1,1,1,IN,28.6667,77.2167,29.96,35.93,74,1000,2.57,98,Rain,light rain,10000.0,0.37,2026-08-27T12:10:44+00:00
Dharamshala,6,5,98,16,39,1,9,5,0,0,0,2.0,5.0,153.46,5912.0650000000005,96315.52,3.3529411764705883,,,,,,,,1,1,0,IN,32.0871,76.2543,29.57,34.01,70,1002,1.04,43,Clouds,scattered clouds,10000.0,0.0,2026-08-27T12:20:37+00:00
Gangtok,1,4,25,8,3,0,0,0,0,0,1,7.0,22.0,18.16,117.4432191780822,790.28,9.513698630136986,,,,,,,,1,1,0,IN,27.3333,88.6167,24.15,25.08,94,1005,0.43,86,Rain,moderate rain,10000.0,1.09,2026-08-27T12:11:38+00:00
Goa,9,18,6,14,23,38,5,5,0,0,0,11.0,41.0,19.13,359.64871485943775,9926.91,14.730923694779117,4.0,9538.0,9538.0,9538.0,148.75,0.0,0.0,1,1,1,IN,15.3333,74.0833,26.21,26.21,92,1010,1.96,66,Rain,light rain,10000.0,0.23,2026-08-25T14:28:43+00:00
Gokarna,1,0,82,17,49,19,6,2,12,0,0,1.0,5.0,61.81,65.635,69.05,1.8,,,,,,,,1,1,0,IN,14.55,74.3167,28.77,32.58,72,1011,5.85,74,Rain,light rain,10000.0,0.38,2026-08-27T12:11:42+00:00
Hampi,76,11,53,26,10,0,9,15,0,0,0,1.0,4.0,60.94,84.101,114.15,42.0,,,,,,,,1,1,0,IN,15.3333,76.4667,29.95,31.46,53,1008,9.72,97,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:11:41+00:00
Hyderabad,100,44,81,17,5,7,7,4,0,0,0,6.0,31.0,19.04,97.65484848484849,209.62,27.060606060606062,,,,,,,,1,1,0,IN,17.3753,78.4744,26.23,26.23,73,1010,5.14,22,Clouds,few clouds,10000.0,0.0,2026-08-25T14:29:49+00:00
Indore,9,74,56,19,31,0,6,0,0,0,0,3.0,19.0,22.06,34.2963,56.57,16.52,,,,,,,,1,1,0,IN,22.7179,75.8333,26.1,26.1,78,1007,4.12,100,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:09:03+00:00
Jaipur,11,70,84,27,5,0,8,5,0,0,2,24.0,71.0,17.24,63.187987804878055,2000.66,12.404471544715449,3.0,15767.0,15767.0,15767.0,240.0,0.0,0.0,1,1,1,IN,26.9167,75.8167,27.62,32.42,89,1004,0.0,97,Clouds,overcast clouds,10000.0,0.0,2026-08-25T14:26:24+00:00
Jaisalmer,4,0,72,2,0,0,0,0,0,1,0,1.0,4.0,41.05,71.16833333333334,102.08,46.0,,,,,,,,1,1,0,IN,26.9147,70.9181,37.9,38.32,27,1000,7.48,2,Clear,clear sky,10000.0,0.0,2026-08-27T12:10:58+00:00
Jim Corbett,0,0,0,17,1,5,8,0,0,0,1,,,,,,,,,,,,,,1,0,0,IN,29.5575,78.8425,29.8,36.8,81,1001,0.91,100,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:20:38+00:00
Jodhpur,9,35,66,23,2,11,1,0,0,0,0,4.0,17.0,16.4,3151.544857142857,9788.15,6.571428571428571,,,,,,,,1,1,0,IN,26.2867,73.03,35.92,37.39,35,1001,7.01,12,Clouds,few clouds,10000.0,0.0,2026-08-27T12:10:59+00:00
Kaziranga,0,2,5,24,34,41,10,1,0,0,0,,,,,,,,,,,,,,1,0,0,IN,26.5882,93.4018,28.92,35.92,89,1000,0.81,80,Clouds,broken clouds,10000.0,0.0,2026-08-27T12:20:37+00:00
Kochi,21,78,98,82,6,4,4,0,6,1,1,7.0,21.0,31.28,142.46865168539324,640.2,12.07865168539326,,,,,,,,1,1,0,IN,9.9399,76.2602,28.99,33.47,74,1011,4.46,100,Rain,light rain,10000.0,0.32,2026-08-27T12:10:40+00:00
Kodaikanal,1,3,43,4,34,4,0,2,0,0,1,,,,,,,,,,,,,,1,0,0,IN,10.2337,77.492,14.75,14.47,84,1015,1.78,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:59:33.022947+00:00
Kolkata,20,61,99,98,1,0,4,0,0,0,1,14.0,45.0,13.88,1656.7964556962029,94287.82,13.172995780590718,,,,,,,,1,1,0,IN,22.5697,88.3697,31.97,38.97,84,999,3.09,63,Clouds,broken clouds,10000.0,0.0,2026-08-27T12:04:40+00:00
Ladakh,6,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,1,0,0,IN,34.0716,77.6329,24.92,23.89,16,1001,3.13,21,Clouds,few clouds,10000.0,0.0,2026-08-27T12:20:36+00:00
Mahabalipuram,1,4,49,30,1,0,3,0,2,0,2,,,,,,,,,,,,,,1,0,0,IN,12.6264,80.1722,30.79,37.79,77,1005,7.16,99,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:08:41+00:00
Manali,3,2,86,9,69,0,5,21,0,0,2,3.0,10.0,36.59,109.6775,160.92,6.104166666666667,,,,,,,,1,1,0,IN,13.1667,80.2667,30.29,37.29,79,1007,0.45,98,Clouds,overcast clouds,10000.0,0.0,2026-08-25T14:30:02+00:00
Mumbai,78,56,99,44,14,39,17,2,0,0,1,24.0,81.0,8.13,197.91861507128309,7830.53,18.38289205702648,17.0,12057.0,12057.0,12057.0,190.0,0.0,0.0,1,1,1,IN,19.0144,72.8479,29.99,34.08,66,1008,6.17,25,Rain,light rain,10000.0,0.13,2026-08-27T12:03:25+00:00
Munnar,2,13,28,89,10,0,0,1,0,0,0,2.0,4.0,73.64,146.302,278.01,9.2,18.0,14132.0,14132.0,14132.0,494.44444444444446,1.0,0.5555555555555556,1,1,1,IN,10.1,77.0667,16.23,16.42,96,1016,2.11,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T14:28:58+00:00
Mussoorie,8,39,13,1,6,0,0,2,0,0,1,3.0,12.0,36.03,133.70928571428573,336.35,7.095238095238095,,,,,,,,1,1,0,IN,30.45,78.0833,19.17,19.49,90,1004,0.27,38,Clouds,scattered clouds,10000.0,0.0,2026-08-27T12:11:37+00:00
Mysore,10,35,96,29,20,1,0,1,0,1,0,2.0,8.0,21.3,97.66477272727272,250.95,28.40909090909091,,,,,,,,1,1,0,IN,12.3072,76.6497,26.0,26.0,78,1012,4.12,99,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:07:29+00:00
Nainital,1,11,1,4,91,0,0,2,0,0,0,6.0,25.0,8.94,162.53942528735632,963.15,8.540229885057471,,,,,,,,1,1,0,IN,29.3974,79.4469,15.13,15.05,90,1003,0.81,100,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:11:38+00:00
Ooty,8,12,30,9,28,0,0,3,0,0,0,4.0,10.0,76.44,31449.736896551723,94287.82,2.4827586206896552,,,,,,,,1,1,0,IN,11.4,76.7,17.35,17.1,75,1014,2.39,92,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:11:39+00:00
Pahalgam,0,0,2,0,7,0,0,0,0,0,1,,,,,,,,,,,,,,1,0,0,IN,34.0322,75.3226,16.53,16.09,71,1015,2.25,0,Clear,clear sky,10000.0,0.0,2026-08-25T15:59:38.153311+00:00
Pondicherry,32,26,70,20,73,3,2,0,4,0,0,4.0,14.0,17.87,51.85289473684211,215.56,29.42105263157895,,,,,,,,1,1,0,IN,11.9341,79.8306,28.19,31.04,70,1009,6.17,100,Rain,light rain,10000.0,0.25,2026-08-25T15:59:34.892180+00:00
Pune,27,69,100,45,23,6,8,5,0,20,0,13.0,54.0,18.82,113.90539215686276,785.73,22.54248366013072,,,,,,,,1,1,0,IN,18.5196,73.8553,25.57,25.57,53,1010,6.41,67,Clouds,broken clouds,10000.0,0.0,2026-08-27T12:09:12+00:00
Ranchi,3,27,49,61,26,2,0,1,0,0,0,,,,,,,,,,,,,,1,0,0,IN,23.35,85.3333,26.06,26.06,89,1002,1.03,43,Rain,moderate rain,10000.0,1.91,2026-08-27T12:07:12+00:00
Ranthambore,2,7,11,1,7,0,0,2,0,0,1,1.0,3.0,162.25,183.88333333333333,194.7,6.0,,,,,,,,1,1,0,IN,26.0204,76.455,27.91,30.89,73,1003,3.59,100,Rain,light rain,10000.0,0.18,2026-08-27T12:20:38+00:00
Rishikesh,5,21,92,19,9,3,11,6,0,1,1,6.0,14.0,20.96,24917.01492063492,802629.32,8.34920634920635,,,,,,,,1,1,0,IN,30.1167,78.3167,26.05,26.05,94,1003,1.54,39,Rain,light rain,10000.0,0.14,2026-08-27T12:11:37+00:00
Shillong,3,4,30,16,43,0,4,1,0,34,0,,,,,,,,,,,,,,1,0,0,IN,25.5689,91.8831,21.92,22.62,94,1004,1.14,99,Clouds,overcast clouds,2041.0,0.0,2026-08-27T12:11:47+00:00
Shimla,7,4,27,0,91,0,0,6,0,0,1,4.0,7.0,52.51,82.98317073170732,165.26,17.78048780487805,,,,,,,,1,1,0,IN,31.1,77.1667,21.49,21.81,81,1004,1.68,34,Clouds,scattered clouds,10000.0,0.0,2026-08-27T12:06:59+00:00
Srinagar,9,51,99,45,29,9,17,3,0,0,0,1.0,3.0,86.42,119.26,164.42,8.0,3.0,18867.0,18867.0,18867.0,705.0,1.0,1.0,1,1,1,IN,34.0833,74.8167,29.03,28.64,40,1001,2.41,3,Clear,clear sky,10000.0,0.0,2026-08-27T12:11:44+00:00
Thiruvananthapuram,40,73,92,84,12,1,4,1,2,0,0,2.0,14.0,19.18,41.64044117647059,191.84,15.911764705882351,,,,,,,,1,1,0,IN,8.4882,76.9476,26.94,30.46,89,1014,3.09,100,Clouds,overcast clouds,10000.0,0.0,2026-08-25T15:59:33.772839+00:00
Udaipur,10,35,90,24,34,1,2,1,0,0,1,10.0,22.0,13.82,57.422026143790845,245.81,12.65359477124183,3.0,20498.0,20498.0,20498.0,628.3333333333334,1.0,0.6666666666666666,1,1,1,IN,24.5712,73.6918,28.5,31.05,66,1006,4.79,100,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:00:06+00:00
Varanasi,6,42,85,76,13,1,4,0,0,1,1,3.0,13.0,39.79,178.25921875,450.98,12.0625,,,,,,,,1,1,0,IN,25.3333,83.0,30.05,37.05,89,999,1.54,79,Clouds,broken clouds,10000.0,0.0,2026-08-27T12:00:26+00:00
Varkala,11,31,93,60,22,2,1,4,11,0,0,1.0,1.0,58.58,74.1275,91.51,12.0,,,,,,,,1,1,0,IN,8.7341,76.7067,26.55,26.55,83,1012,4.97,100,Clouds,overcast clouds,10000.0,0.0,2026-08-27T12:11:40+00:00
Wayanad,7,12,1,98,1,0,0,0,0,0,1,,,,,,,,,,,,,,1,0,0,IN,11.6602,76.2507,24.45,25.14,84,1013,1.9,84,Rain,light rain,10000.0,0.44,2026-08-27T12:20:36+00:00
